,index,SNR,species,lead,planet,observation,instrument,year,detection?,doppler shifts,new data?,analysis type,tellurics,url,analysis method,VMR,VMR_err1,VMR_err2,doppler shift
108,3,0.0,Ca+,kasper,WASP-76 b,transit,MAROON-X,2021,,,,,,,retrieval,,,,
109,4,0.0,Mg,kasper,WASP-76 b,transit,MAROON-X,2021,,,,,,,retrieval,,,,
110,0,7.0,Fe,J Hoeijmakers,KELT-9 b,transit,HARPS,2018,,,,,,,,,,,
111,1,14.0,Fe+,J Hoeijmakers,KELT-9 b,transit,HARPS,2018,,,,,,,,,,,
112,2,9.0,Ti+,J Hoeijmakers,KELT-9 b,transit,HARPS,2018,,,,,,,,,,,
113,0,5.0,Na,J Hoeijmakers,KELT-9 b,transit,HARPS,2019,,,,,,,,,,,
114,1,5.0,Mg,J Hoeijmakers,KELT-9 b,transit,HARPS,2019,,,,,,,,,,,
115,2,5.0,Sc+,J Hoeijmakers,KELT-9 b,transit,HARPS,2019,,,,,,,,,,,
116,3,5.0,Ti+,J Hoeijmakers,KELT-9 b,transit,HARPS,2019,,,,,,,,,,,
117,4,5.0,Cr+,J Hoeijmakers,KELT-9 b,transit,HARPS,2019,,,,,,,,,,,
118,5,5.0,Fe,J Hoeijmakers,KELT-9 b,transit,HARPS,2019,,,,,,,,,,,
119,6,5.0,Fe+,J Hoeijmakers,KELT-9 b,transit,HARPS,2019,,,,,,,,,,,
120,7,5.0,Y+,J Hoeijmakers,KELT-9 b,transit,HARPS,2019,,,,,,,,,,,
121,0,3.0,H2O,M Brogi,HD 179949 b,emission,CRIRES,2014,,,,,,,,,,,
122,0,7.8,Mg,Cauley,KELT-9 b,transit,PEPSI,2019,,,,,,,,,,,
123,1,5.0,Fe,Cauley,KELT-9 b,transit,PEPSI,2019,,,,,,,,,,,
124,2,5.0,Fe+,Cauley,KELT-9 b,transit,PEPSI,2019,,,,,,,,,,,
125,3,5.0,Ti+,Cauley,KELT-9 b,transit,PEPSI,2019,,,,,,,,,,,
126,4,5.0,H alpha,Cauley,KELT-9 b,transit,PEPSI,2019,,,,,,,,,,,
127,5,5.0,H beta,Cauley,KELT-9 b,transit,PEPSI,2019,,,,,,,,,,,
128,0,0.0,H alpha,Turner,KELT-9 b,transit,CARMENES,2020,,,,,,,,,,,
129,0,0.0,Ca+,Diebert,WASP-76 b,transit,CARMENES,2021,,,,,,,,,,,
130,0,0.0,Fe,L Pino,KELT-9 b,transit,HARPS,2020,,,,,,,,,,,
131,0,0.0,Ca+,F Yan,KELT-9 b,transit,CARMENES,2019,,,,,,,,,,,
132,0,10.4,Fe,M Herman,WASP-33 b,emission,"ESPaDOnS, HDS",2022,,,,,,,,,,,
133,0,7.3,Fe,S Nugroho,WASP-33 b,emission,CARMENES,2022,,,,,,,,,,,
134,1,4.9,TiO,S Nugroho,WASP-33 b,emission,CARMENES,2022,,,,,,,,,,,
135,0,5.4,Si,cont,KELT-20 b,emission,CARMENES,2022,,,,,,,,,,,
136,0,0.0,Na,Santos,HD 209458 b,transit,ESPRESSO,2020,,,,,,,,,,,
137,1,0.0,K,Santos,HD 209458 b,transit,ESPRESSO,2020,,,,,,,,,,,
138,0,0.0,He,mansfield,HAT-P-11 b,transit,CARMENES,2018,,,,,,,,,,,
139,0,9.0,Na,Allart,WASP-127 b,transit,ESPRESSO,2020,,,,,,,,,,,
140,0,9.0,Na,Santos,WASP-127 b,transit,CARMENES,2020,,,,,,,,,,,
141,0,0.0,H alpha,Cauley,WASP-33 b,transit,PEPSI,2021,,,,,,,,,,,
142,0,3.2,Na,deibert,HAT-P-12 b,transit,HDS,2019,,,,,,,,,,,
143,0,9.0,K,keles,HD 189733 b,transit,PEPSI,2019,,,,,,,,,,,
144,0,5.2,Fe,cabot,TOI-1518 b,emission,EXPRES,2021,,,,,,,,,,,
145,1,3.4,Fe+,cabot,TOI-1518 b,emission,EXPRES,2021,,,,,,,,,,,
146,0,7.9,Na,khalafinejad,WASP-69 b,transit,CARMENES,2021,,,,,,,,,,,
147,0,4.4,H2O,guilluy,HD 102195 b,emission,GIANO,2018,,,,,,,,,,,
148,1,4.1,CH4,guilluy,HD 102195 b,emission,GIANO,2018,,,,,,,,,,,
149,0,25.0,He,guilluy,HD 189733 b,transit,GIARPS,2020,,,,,,,,,,,
150,0,9.6,H2O,guilluy,HD 209458 b,emission,GIANO-B,2020,,,False,parameterized model grid,PCA,https://link.springer.com/content/pdf/10.1007/s10686-021-09824-7.pdf,,,,,
151,1,5.5,CO,guilluy,HD 209458 b,emission,GIANO-B,2020,,,False,parameterized model grid,PCA,https://link.springer.com/content/pdf/10.1007/s10686-021-09824-7.pdf,,,,,
152,2,9.9,HCN,guilluy,HD 209458 b,emission,GIANO-B,2020,,,False,parameterized model grid,PCA,https://link.springer.com/content/pdf/10.1007/s10686-021-09824-7.pdf,,,,,
153,3,5.6,CH4,guilluy,HD 209458 b,emission,GIANO-B,2020,,,False,parameterized model grid,PCA,https://link.springer.com/content/pdf/10.1007/s10686-021-09824-7.pdf,,,,,
154,4,5.3,NH3,guilluy,HD 209458 b,emission,GIANO-B,2020,,,False,parameterized model grid,PCA,https://link.springer.com/content/pdf/10.1007/s10686-021-09824-7.pdf,,,,,
155,5,6.1,C2H2,guilluy,HD 209458 b,emission,GIANO-B,2020,,,False,parameterized model grid,PCA,https://link.springer.com/content/pdf/10.1007/s10686-021-09824-7.pdf,,,,,
157,0,5.1,Fe,F Stangret,WASP-189 b,transit,HARPS-N,2021,,,,,,,,,,,
158,1,5.4,Fe+,F Stangret,WASP-189 b,transit,HARPS-N,2021,,,,,,,,,,,
159,2,4.2,Ti,F Stangret,WASP-189 b,transit,HARPS-N,2021,,,,,,,,,,,
160,3,0.0,H alpha,F Stangret,WASP-189 b,transit,HARPS-N,2021,,,,,,,,,,,
161,4,0.0,H beta,F Stangret,WASP-189 b,transit,HARPS-N,2021,,,,,,,,,,,
162,5,0.0,Ca H&K,F Stangret,WASP-189 b,transit,HARPS-N,2021,,,,,,,,,,,
163,0,0.0,He,nortmann,WASP-69 b,transit,CARMENES,2018,,,,,,,,,,,
164,0,0.0,He,salz,HD 189733 b,transit,PEPSI,2018,,,,,,,,,,,
165,0,5.0,Na,casasayas_barris,WASP-69 b,transit,HARPS-N,2017,,,,,,,,,,,
166,0,0.0,Ca+,casasayas_barris,KELT-20 b,transit,HARPS,2018,,,,,,,,,,,
167,1,0.0,Fe+,casasayas_barris,KELT-20 b,transit,HARPS,2018,,,,,,,,,,,
168,2,0.0,Na,casasayas_barris,KELT-20 b,transit,HARPS,2018,,,,,,,,,,,
169,3,0.0,H,casasayas_barris,KELT-20 b,transit,HARPS,2018,,,,,,,,,,,
170,0,18.0,He,palle,GJ 3470 b,transit,CARMENES,2020,,,,,,,,,,,
171,0,0.0,H2O,Brogi,HD 209458 b,transit,CRIRES,2017,False,,False,joint,,https://ui.adsabs.harvard.edu/abs/2017ApJ...839L...2B/abstract,,,,,
172,1,0.0,CO,Brogi,HD 209458 b,transit,CRIRES,2017,False,,False,joint,,https://ui.adsabs.harvard.edu/abs/2017ApJ...839L...2B/abstract,,,,,
173,0,0.0,H,Sanchez-Lopez,KELT-9 b,transit,HARPS,2022,,-14.8,True,Line-fitting,molecfit,https://arxiv.org/pdf/2209.01854.pdf,,,,,
174,0,0.0,He,Allart,HAT-P-11 b,transit,CARMENES,2018,,,,,,,,,,,
175,0,0.0,He,allart,WASP-107 b,transit,CARMENES,2018,,,,,,,,,,,
176,0,0.0,He,alonso_floriano,HD 209458 b,transit,CARMENES,2019,,,,,,,,,,,
177,0,9.6,H2O,Giacobbe,HD 209458 b,transit,GIANO-B,2021,,,,,,,,,,,
178,1,5.6,CH4,Giacobbe,HD 209458 b,transit,GIANO-B,2021,,,,,,,,,,,
179,2,5.3,NH3,Giacobbe,HD 209458 b,transit,GIANO-B,2021,,,,,,,,,,,
180,3,5.5,CO,Giacobbe,HD 209458 b,transit,GIANO-B,2021,,,,,,,,,,,
181,4,9.9,HCN,Giacobbe,HD 209458 b,transit,GIANO-B,2021,,,,,,,,,,,
182,5,6.1,C2H2,Giacobbe,HD 209458 b,transit,GIANO-B,2021,,,,,,,,,,,
184,0,0.0,He,kirk,WASP-107 b,transit,NIRSPEC,2020,,,,,,,,,,,
185,0,3.5,Sc+,S Merritt,WASP-121 b,transit,UVES,2021,,,,,,,,,,,
186,1,3.5,Fe,S Merritt,WASP-121 b,transit,UVES,2021,,,,,,,,,,,
187,2,3.5, Ca,S Merritt,WASP-121 b,transit,UVES,2021,,,,,,,,,,,
188,3,3.5,Cr,S Merritt,WASP-121 b,transit,UVES,2021,,,,,,,,,,,
189,4,3.5,V,S Merritt,WASP-121 b,transit,UVES,2021,,,,,,,,,,,
190,5,3.5,H,S Merritt,WASP-121 b,transit,UVES,2021,,,,,,,,,,,
191,6,3.5,K,S Merritt,WASP-121 b,transit,UVES,2021,,,,,,,,,,,
192,0,0.0,Na,langveld,WASP-69 b,transit,HARPS,2022,,-2.4,True,Line-fitting,molecfit,https://arxiv.org/pdf/2205.01623.pdf,,,,,
193,0,0.0,Na,langveld,HD 189733 b,transit,HARPS,2022,,-1.8,True,Line-fitting,molecfit,https://arxiv.org/pdf/2205.01623.pdf,,,,,
194,0,0.0,Na,langveld,WASP-21 b,transit,HARPS,2022,,-2.6,True,Line-fitting,molecfit,https://arxiv.org/pdf/2205.01623.pdf,,,,,
195,0,0.0,Na,langveld,WASP-79 b,transit,HARPS-N,2022,,0.5,True,Line-fitting,molecfit,https://arxiv.org/pdf/2205.01623.pdf,,,,,
196,0,0.0,Na,langveld,KELT-20 b,transit,HARPS-N,2022,,-3.1,True,Line-fitting,molecfit,https://arxiv.org/pdf/2205.01623.pdf,,,,,
197,0,0.0,Na,langveld,WASP-121 b,transit,HARPS,2022,,-2.9,True,Line-fitting,molecfit,https://arxiv.org/pdf/2205.01623.pdf,,,,,
198,0,0.0,Na,langveld,WASP-189 b,transit,"HARPS-N, HARPS",2022,,-3.9,True,Line-fitting,molecfit,https://arxiv.org/pdf/2205.01623.pdf,,,,,
199,0,0.0,Na,langveld,WASP-49 b,transit,HARPS,2022,,-4.9,True,Line-fitting,molecfit,https://arxiv.org/pdf/2205.01623.pdf,,,,,
200,0,0.0,H2O,Gandhi,HD 209458 b,transit,CRIRES,2019,True,,False,retrieval,,https://ui.adsabs.harvard.edu/abs/2019AJ....158..228G/abstract,,,,,
201,1,0.0,CO,Gandhi,HD 209458 b,transit,CRIRES,2019,True,,False,retrieval,,https://ui.adsabs.harvard.edu/abs/2019AJ....158..228G/abstract,,,,,
202,0,0.0,Fe,Gandhi,WASP-76 b,transit,ESPRESSO,2022,True,,False,"retrieval, 2D",,https://ui.adsabs.harvard.edu/abs/2022MNRAS.515..749G/abstract,,-4.33,0.26,0.27,
203,0,0.0,Na,langveld,KELT-9 b,transit,HARPS-N,2022,,-4.1,True,Line-fitting,molecfit,https://arxiv.org/pdf/2205.01623.pdf,,,,,
204,0,0.0,H2O,Brogi,HD 209458 b,transit,CRIRES,2019,True,,False,retrieval,,,,,,,
205,1,0.0,CO,Brogi,HD 209458 b,transit,CRIRES,2019,True,,False,retrieval,,,,,,,
206,0,0.0,H2O,Brogi,HD 189733 b,transit,CRIRES,2019,True,,False,retrieval,,,,,,,
207,1,0.0,CO,Brogi,HD 189733 b,transit,CRIRES,2019,True,,False,retrieval,,,,,,,
208,0,5.5,H2O,Brogi,HD 189733 b,transit,GIANO,2018,,,True,parameterized forward model,,https://ui.adsabs.harvard.edu/abs/2018A%26A...615A..16B/abstract,,,,,
209,0,0.0,H2O,webb,Tau bootis b,transit,CARMENES,2022,,,True,Likelihood isothermal forward model (GENESIS),airmass detrending,https://iopscience.iop.org/article/10.3847/1538-3881/ac80bf/meta,,,,,
210,1,,CH4,webb,Tau bootis b,transit,CARMENES,2022,,,True,Likelihood isothermal forward model (GENESIS),airmass detrending,https://iopscience.iop.org/article/10.3847/1538-3881/ac80bf/meta,,,,,
211,2,,HCN,webb,Tau bootis b,transit,CARMENES,2022,,,True,Likelihood isothermal forward model (GENESIS),airmass detrending,https://iopscience.iop.org/article/10.3847/1538-3881/ac80bf/meta,,,,,
212,3,,NH3,webb,Tau bootis b,transit,CARMENES,2022,,,True,Likelihood isothermal forward model (GENESIS),airmass detrending,https://iopscience.iop.org/article/10.3847/1538-3881/ac80bf/meta,,,,,
213,4,,C2H2,webb,Tau bootis b,transit,CARMENES,2022,,,True,Likelihood isothermal forward model (GENESIS),airmass detrending,https://iopscience.iop.org/article/10.3847/1538-3881/ac80bf/meta,,,,,
214,0,9.94,H2O,carleo,WASP-80 b,transit,GIANO-B,2022,,,True,Likelihood isothermal forward model (GENESIS),PCA,https://iopscience.iop.org/article/10.3847/1538-3881/ac80bf/meta,,,,,0.0
215,1,4.08,CH4,carleo,WASP-80 b,transit,GIANO-B,2022,,,True,Likelihood isothermal forward model (GENESIS),PCA,https://iopscience.iop.org/article/10.3847/1538-3881/ac80bf/meta,,,,,-1.0
216,2,7.73,NH3,carleo,WASP-80 b,transit,GIANO-B,2022,,,True,Likelihood isothermal forward model (GENESIS),PCA,https://iopscience.iop.org/article/10.3847/1538-3881/ac80bf/meta,,,,,0.0
217,3,4.3,HCN,carleo,WASP-80 b,transit,GIANO-B,2022,,,True,Likelihood isothermal forward model (GENESIS),PCA,https://iopscience.iop.org/article/10.3847/1538-3881/ac80bf/meta,,,,,0.0
218,4,3.88,C2H2,carleo,WASP-80 b,transit,GIANO-B,2022,,,True,Likelihood isothermal forward model (GENESIS),PCA,https://iopscience.iop.org/article/10.3847/1538-3881/ac80bf/meta,,,,,-69.0
219,5,6.33,CO,carleo,WASP-80 b,transit,GIANO-B,2022,,,True,Likelihood isothermal forward model (GENESIS),PCA,https://iopscience.iop.org/article/10.3847/1538-3881/ac80bf/meta,,,,,-3.0
220,6,7.0,CO2,carleo,WASP-80 b,transit,GIANO-B,2022,,,True,Likelihood isothermal forward model (GENESIS),PCA,https://iopscience.iop.org/article/10.3847/1538-3881/ac80bf/meta,,,,,-1.0
221,0,6.3,CH4,guilluy,WASP-69 b,transit,GIANO-B,2022,,,True,likelihood cross-correlation isothermal forward model,PCA,https://arxiv.org/pdf/2207.09760.pdf,,,,,-1.0
222,1,5.4,NH3,guilluy,WASP-69 b,transit,GIANO-B,2022,,,True,likelihood cross-correlation isothermal forward model,PCA,https://arxiv.org/pdf/2207.09760.pdf,,,,,2.0
223,2,7.0,CO,guilluy,WASP-69 b,transit,GIANO-B,2022,,,True,likelihood cross-correlation isothermal forward model,PCA,https://arxiv.org/pdf/2207.09760.pdf,,,,,2.0
224,3,4.5,C2H2,guilluy,WASP-69 b,transit,GIANO-B,2022,,,True,likelihood cross-correlation isothermal forward model,PCA,https://arxiv.org/pdf/2207.09760.pdf,,,,,-2.0
225,4,5.0,H2O,guilluy,WASP-69 b,transit,GIANO-B,2022,,,True,likelihood cross-correlation isothermal forward model,PCA,https://arxiv.org/pdf/2207.09760.pdf,,,,,1.0
226,5,,HCN,guilluy,WASP-69 b,transit,GIANO-B,2022,,,True,likelihood cross-correlation isothermal forward model,PCA,https://arxiv.org/pdf/2207.09760.pdf,,,,,
227,6,,CO2,guilluy,WASP-69 b,transit,GIANO-B,2022,,,True,likelihood cross-correlation isothermal forward model,PCA,https://arxiv.org/pdf/2207.09760.pdf,,,,,
